date,Nitrate as N,"Nitrogen, Total Oxidised as N",Ammonia un-ionised as N,Nitrite as N,"Solids, Suspended at 105 C","Orthophosphate, reactive as P",Ammoniacal Nitrogen as N,"Phosphorus, Total as P",Phenols : Monohydric as Phenol,"Solids, non-volatile at 500 C","Solids, Volatile at 480 C","Solids, < 63 um","Solids, Volatile at 400 C",Dry Solids at 30 C
2000-01-25 16:40:00,11.5,11.6,0.001,0.045,14.0,0.29100000000000004,0.054000000000000006,,,,,,,
2000-02-02 13:50:00,10.6,10.7,0.002,0.073,28.0,0.515,0.096,,,,,,,
2000-03-02 00:00:00,7.2,7.23,,0.066,61.3,0.231,0.07400000000000001,,,,,,,
2000-04-04 13:20:00,8.7,8.79,0.003,0.062,38.0,0.36200000000000004,0.24600000000000002,,,,,,,
2000-05-03 14:45:00,9.2,9.26,0.001,0.03,12.0,0.233,0.03,,,,,,,
2000-06-01 16:05:00,4.5,4.55,0.001,0.048,10.8,0.222,0.040999999999999995,,,,,,,
2000-07-05 15:00:00,8.1,8.14,0.001,0.027999999999999997,6.0,0.762,0.03,,,,,,,
2000-08-04 14:30:00,,7.4,,0.02,8.3,0.65,0.03,,,,,,,
2000-09-06 14:15:00,5.47,5.49,0.0014,0.016,5.6,0.894,0.03,,,,,,,
2000-10-04 12:00:00,7.07,7.12,0.0007,0.046,11.6,0.615,0.03,,,,,,,
2000-10-31 10:25:00,7.45,7.48,0.0006,0.0299,45.5,0.20600000000000002,0.04,,,,,,,
2000-11-14 14:55:00,7.26,7.31,0.0005,0.05,22.8,0.19,0.042,,,,,,,
2001-01-03 14:45:00,6.18,6.25,0.001,0.07,36.8,0.23199999999999998,0.09699999999999999,,,,,,,
2001-02-27 16:55:00,10.9,10.9,0.0008,0.0309,9.1,0.257,0.064,,,,,,,
2001-04-02 14:15:00,8.63,8.66,0.0015,0.0297,14.8,0.138,0.057999999999999996,,,,,,,
2001-05-02 14:00:00,8.06,8.09,,0.0296,13.1,0.122,0.03,,,,,,,
2001-06-29 14:30:00,7.28,7.31,0.0011,0.0338,3.0,0.307,0.03,,,,,,,
2001-07-09 14:25:00,6.25,6.29,0.0018,0.0378,5.3,0.451,0.051,,,,,,,
2001-08-07 15:55:00,5.91,5.93,0.001,0.0228,7.7,0.8109999999999999,0.03,,,,,,,
2001-08-17 13:55:00,6.2,6.23,0.0011,0.0331,8.6,0.42700000000000005,0.033,,,,,,,
2001-10-03 14:30:00,5.62,5.65,0.001,0.0259,12.0,0.633,0.038,,,,,,,
2001-12-09 15:05:00,7.6,7.63,0.0008,0.0325,8.5,0.203,0.062,,,,,,,
2002-02-25 14:10:00,7.89,7.93,0.0007,0.037000000000000005,24.6,0.179,0.046,,,,,,,
2002-03-26 14:00:00,7.68,7.7,0.0005,0.0182,11.6,0.096,0.03,,,,,,,
2002-05-29 14:10:00,5.64,5.66,0.0008,0.025,10.6,0.179,0.03,,,,,,,
2002-06-06 15:45:00,5.45,5.48,0.001,0.0285,13.5,0.14300000000000002,0.035,,,,,,,
2002-07-19 14:30:00,4.91,4.93,0.0012,0.0229,8.4,0.221,0.034,,,,,,,
2002-08-28 11:55:00,5.26,5.28,0.0011,0.0211,11.3,0.278,0.036000000000000004,,,,,,,
2002-10-04 16:30:00,6.19,6.21,0.00099,0.0158,8.9,0.33299999999999996,0.059000000000000004,,,,,,,
2002-10-29 14:36:00,7.8,7.82,0.00054,0.0209,12.3,0.149,0.03,,,,,,,
2002-11-23 15:00:00,7.55,7.6,0.00067,0.0461,15.8,0.122,0.059000000000000004,,,,,,,
2002-12-05 15:30:00,11.7,11.7,,0.0314,9.4,0.132,0.079,,,,,,,
2003-02-01 14:40:00,9.3,9.33,0.00047000000000000004,0.0286,11.3,0.10800000000000001,0.068,0.146,0.006,20.0,,,,
2003-02-26 14:40:00,10.1,10.2,0.00059,0.0823,8.2,0.12300000000000001,0.039,0.139,0.006,20.0,,,,
2003-03-24 12:30:00,9.37,9.39,0.00047999999999999996,0.0225,13.7,0.08,0.03,0.129,0.006,20.0,,,,
2003-04-08 13:00:00,9.23,9.26,0.0009400000000000001,0.0299,12.0,0.06,0.052000000000000005,0.154,0.006,20.0,,,,
2003-04-29 16:00:00,7.03,7.06,0.0007099999999999999,0.0295,14.6,0.26899999999999996,0.03,0.385,0.006,20.0,,,,
2003-05-27 14:33:00,6.58,6.61,0.0011099999999999999,0.0304,8.3,0.204,0.04,0.285,0.006,20.0,,,,
2003-07-02 13:10:00,5.22,5.25,0.00183,0.0349,6.4,0.358,0.055999999999999994,0.395,0.006,20.0,,,,
2003-07-30 12:25:00,5.03,5.06,0.00151,0.027000000000000003,7.2,0.397,0.045,0.447,0.006,20.0,,,,
2003-08-28 13:00:00,2.66,2.69,0.00217,0.0298,7.6,0.272,0.066,0.384,0.006,20.0,,,,
2003-09-29 15:30:00,3.98,4.01,0.0011,0.03,4.1,0.271,0.047,0.33799999999999997,0.006,20.0,,,,
2003-10-30 11:30:00,6.44,6.47,0.00054,0.035,5.5,0.35200000000000004,0.038,0.439,0.006,20.0,,,,
2003-11-26 12:10:00,6.37,6.41,0.0016600000000000002,0.0427,16.7,0.384,0.10800000000000001,0.467,0.006,20.0,,,,
2004-01-28 14:50:00,12.9,12.9,0.00047000000000000004,0.0313,10.3,0.153,0.039,0.184,0.006,20.0,,,,
2004-03-05 13:55:00,11.0,11.0,0.00041,0.0341,3.0,0.166,0.03,0.19899999999999998,0.006,20.0,,,,
2004-03-30 13:00:00,8.58,8.6,0.00058,0.0246,13.5,0.10800000000000001,0.03,0.17800000000000002,0.006,20.0,,,,
2004-04-26 12:10:00,6.91,6.93,0.00081,0.0212,13.7,0.111,0.03,0.179,0.006,20.0,,,,
2004-05-24 12:50:00,7.18,7.21,0.00075,0.0256,8.7,0.154,0.03,0.213,0.006,20.0,,,,
2004-06-28 11:48:00,5.54,5.56,0.0012,0.0217,4.4,0.225,0.038,0.294,0.006,20.0,,,,
2004-07-06 14:45:00,,,,,5.8,,,,0.006,20.0,,,,
2004-09-22 12:25:00,4.98,4.99,0.00074,0.0125,5.6,0.29600000000000004,0.03,0.35100000000000003,0.006,20.0,,,,
2004-10-01 10:30:00,4.45,4.47,0.00074,0.0174,6.6,0.331,0.03,,,,,,,
2004-10-28 13:40:00,7.79,7.83,0.00058,0.0422,15.4,0.14800000000000002,0.031,,,,,,,
2004-11-23 12:30:00,8.41,8.44,0.00054,0.0275,31.9,0.163,0.040999999999999995,,,,,,,
2004-12-21 12:50:00,7.89,7.91,0.00053,0.0214,14.6,0.19899999999999998,0.043,,,,,,,
2005-01-06 12:00:00,8.62,8.65,0.0008300000000000001,0.0251,12.4,0.18899999999999997,0.059000000000000004,0.228,0.006,20.0,,,,
2005-01-21 11:15:00,8.01,8.04,0.0012,0.0264,7.6,0.19399999999999998,0.081,0.231,0.006,20.0,,,,
2005-02-02 12:15:00,8.08,8.1,0.00074,0.0216,6.9,0.185,0.049,0.237,0.006,20.0,,,,
2005-03-05 14:20:00,7.53,7.55,0.00122,0.0176,9.9,0.141,0.107,0.212,0.006,20.0,,,,
2005-04-08 10:49:00,7.04,7.05,0.0005200000000000001,0.0149,8.8,0.133,0.03,0.175,0.006,20.0,,,,
2005-06-01 13:40:00,5.92,5.94,0.00082,0.0247,10.3,0.177,0.03,0.23399999999999999,0.006,20.0,,,,
2005-06-06 08:30:00,6.33,6.35,0.00126,0.023,12.1,0.198,0.047,0.245,,20.0,,,,
2005-06-30 13:30:00,3.84,3.87,0.0023899999999999998,0.0348,19.5,0.18600000000000003,0.129,0.29,0.006,20.0,,,,
2005-08-02 10:20:00,4.3,4.32,0.00116,0.0157,11.5,0.28,0.037000000000000005,0.35200000000000004,0.073,20.0,,,,
2005-08-30 12:30:00,4.07,4.08,0.00128,0.0134,8.7,0.27699999999999997,0.044000000000000004,0.341,0.203,20.0,,,,
2005-09-29 11:40:00,3.64,3.66,0.00133,0.0181,5.0,0.276,0.055999999999999994,0.298,0.04,20.0,,,,
2005-10-26 12:35:00,4.04,4.08,0.00061,0.0426,3.0,0.401,0.035,0.46399999999999997,0.02,20.0,,,,
2005-11-23 13:10:00,6.79,6.81,0.00041,0.0199,6.2,0.188,0.035,0.213,0.05,20.0,,,,
2006-01-03 13:30:00,8.1,8.14,0.0009400000000000001,0.0391,17.7,0.2,0.099,0.285,0.02,20.0,,,,
2006-01-30 13:15:00,8.53,8.56,0.00033,0.028999999999999998,3.2,0.192,0.03,0.203,0.02,20.0,,,,
2006-03-29 12:40:00,6.82,6.83,0.00055,0.0145,10.3,0.18600000000000003,0.03,0.248,0.02,20.0,,,,
2006-04-03 14:58:00,8.28,8.31,0.00061,0.0334,31.0,0.13,0.037000000000000005,0.21,0.02,25.0,,,,
2006-05-04 10:00:00,5.76,5.77,0.00079,0.0124,10.8,0.127,0.03,0.20199999999999999,0.02,20.0,,,,
2006-06-02 11:25:00,5.53,5.56,0.0006,0.0265,9.6,0.156,0.038,0.20199999999999999,0.02,20.0,,,,
2006-08-03 11:25:00,2.63,2.64,0.00141,0.0092,8.7,0.261,0.040999999999999995,0.304,0.01,20.0,,,,
2006-09-29 03:00:00,3.57,3.59,0.00064,0.022000000000000002,9.4,0.24100000000000002,0.042,0.259,0.01,20.0,,,,
2006-10-03 11:00:00,6.0,6.02,0.0008900000000000001,0.0229,15.8,0.314,0.054000000000000006,0.39899999999999997,0.01,20.0,,,,
2006-10-31 12:37:00,8.31,8.33,0.00059,0.0228,7.4,0.121,0.03,0.127,0.01,20.0,,,,
2006-11-16 14:25:00,7.5,7.52,0.00057,0.0207,5.8,0.179,0.03,0.2,0.01,20.0,,,,
2006-11-28 10:33:00,6.65,6.68,0.00027,0.0275,47.4,0.136,0.03,0.222,0.01,41.0,,,,
2007-01-03 13:10:00,7.66,7.69,0.00041,0.0314,23.0,0.109,0.031,0.149,0.01,20.0,,,,
2007-01-29 09:05:00,10.3,10.3,0.00061,0.0254,9.3,0.092,0.042,0.0932,0.01,20.0,,,,
2007-03-01 12:40:00,5.78,5.79,0.00047999999999999996,0.0131,30.6,0.075,0.03,0.124,0.02,20.0,,,,
2007-04-02 13:00:00,9.05,9.06,0.00058,0.0117,7.3,0.038,0.03,0.0563,0.02,20.0,,,,
2007-05-02 11:00:00,8.03,8.05,0.00084,0.0163,8.7,0.068,0.032,0.12,0.02,20.0,,,,
2007-06-01 12:00:00,5.02,5.06,0.0012699999999999999,0.0395,17.8,0.155,0.10400000000000001,0.226,0.02,20.0,,,,
2007-07-02 14:35:00,3.64,3.66,0.0010199999999999999,0.0246,9.4,0.149,0.034,0.147,0.02,20.0,,,,
2007-07-30 13:30:00,2.34,2.36,0.00074,0.0193,8.0,0.046,0.031,0.079,0.02,20.0,,,,
2007-08-28 14:25:00,6.94,6.95,0.0008900000000000001,0.0135,6.1,0.153,0.03,0.171,0.02,20.0,,,,
2007-10-03 12:31:00,6.82,6.83,0.00072,0.0141,5.7,0.331,0.03,0.38,0.02,20.0,,,,
2007-11-13 12:40:00,6.82,6.84,0.00047999999999999996,0.0162,5.9,0.18899999999999997,0.03,0.18600000000000003,0.01,20.0,,,,
2007-11-19 12:55:00,7.54,7.56,0.00037999999999999997,0.0159,4.0,0.21,0.03,0.223,0.01,20.0,,,,
2008-01-02 16:01:00,7.44,7.47,0.00042,0.0258,11.0,0.152,0.03,0.15,0.02,20.0,,,,
2008-01-28 09:05:00,8.5,8.52,0.00056,0.0195,14.6,0.11,0.040999999999999995,0.131,0.02,20.0,,,,
2008-02-27 14:33:00,8.26,8.28,0.00047999999999999996,0.0188,3.2,0.161,0.03,0.172,0.04,20.0,,,,
2008-03-31 14:20:00,6.42,6.44,0.00061,0.0233,29.0,0.132,0.034,0.774,0.04,22.0,,,,
2008-04-28 15:00:00,6.51,6.53,0.0006799999999999999,0.0201,29.2,0.08,0.03,0.23399999999999999,0.04,20.0,,,,
2008-06-10 14:45:00,2.99,3.01,0.0009400000000000001,0.02,12.2,0.16899999999999998,0.05,0.251,0.04,20.0,,,,
2008-06-11 11:55:00,,,,,,,,,,,14.0,2.5,10.8,
2008-07-02 14:05:00,5.77,5.79,0.0009400000000000001,0.016,12.8,0.133,0.03,0.182,0.04,20.0,,,,
2008-07-28 14:40:00,5.98,5.99,0.00124,0.0122,10.8,0.154,0.03,0.22,0.04,20.0,,,,
2008-08-29 14:30:00,5.31,5.32,0.00106,0.0097,12.6,0.239,0.03,0.29,0.04,20.0,,,,
2008-09-30 14:15:00,6.69,6.7,0.0006900000000000001,0.0116,10.5,0.113,0.03,0.138,0.04,20.0,,,,
2008-10-27 14:40:00,6.01,6.02,0.00054,0.0149,6.9,0.146,0.03,0.158,0.04,20.0,,,,
2008-12-07 15:21:00,5.23,5.25,0.0006799999999999999,0.0189,50.6,0.09,0.07,0.215,0.04,44.0,,,,
2009-01-15 11:35:00,7.07,7.11,0.00116,0.0435,14.7,0.146,0.094,0.192,0.04,20.0,,,,
2009-02-14 09:00:00,4.23,4.25,0.00014,0.0151,21.0,0.071,0.03,0.11800000000000001,0.04,20.0,,,,
2009-03-13 10:50:00,7.78,7.79,0.00049,0.0095,5.6,0.098,0.03,0.132,0.04,20.0,,,,
2009-04-04 14:45:00,7.68,7.73,0.0006,0.05,11.5,0.057999999999999996,0.03,0.128,0.04,20.0,,,,
2009-05-11 10:15:00,6.91,6.93,0.0006900000000000001,0.022000000000000002,9.9,0.127,0.03,0.183,0.04,20.0,,,,
2009-05-31 14:20:00,4.69,4.71,0.0010199999999999999,0.019,49.5,0.02,0.03,0.23199999999999998,0.04,34.0,,,,
2009-07-19 15:30:00,4.72,4.73,0.00091,0.0144,13.9,0.19399999999999998,0.03,0.253,0.04,20.0,,,,
2009-07-31 15:50:00,4.0,4.01,0.00095,0.0104,12.0,0.183,0.03,0.23,0.04,20.0,,,,
2009-08-22 15:00:00,4.14,4.15,0.001,0.0085,14.9,0.149,0.03,0.201,0.04,20.0,,,,
2009-08-24 11:25:00,,,,,,,,,,,11.6,6.96,8.51,
2009-09-28 15:05:00,4.61,4.62,0.00061,0.0108,7.0,0.217,0.03,0.24100000000000002,0.04,20.0,,,,
2009-11-05 14:12:00,4.95,4.97,0.00053,0.0157,10.1,0.271,0.037000000000000005,0.325,0.04,20.0,,,,
2009-11-26 12:00:00,8.67,8.7,0.00114,0.0275,46.9,0.11800000000000001,0.07200000000000001,0.261,0.04,38.4,,,,
2010-01-14 11:26:00,7.51,7.54,0.00064,0.0287,7.47,0.10800000000000001,0.086,0.124,0.04,20.0,,,,
2010-02-09 08:25:00,7.81,7.83,0.00032,0.0231,11.3,0.087,0.034,0.11800000000000001,0.04,20.0,,,,
2010-03-12 08:40:00,8.35,8.37,0.00037999999999999997,0.0237,6.2,0.07,0.03,0.0891,0.04,20.0,,,,
2010-04-09 14:06:00,6.59,6.6,0.0006,0.0098,8.9,0.063,0.03,0.10400000000000001,0.04,20.0,,,,
2010-05-24 15:05:00,5.36,5.38,0.00106,0.018000000000000002,39.0,0.02,0.03,0.16399999999999998,0.04,26.5,,,,
2010-06-08 15:00:00,5.0,5.02,0.00093,0.0222,15.2,0.115,0.03,0.19399999999999998,0.04,20.0,,,,
2010-07-07 14:20:00,4.61,4.63,0.00105,0.0158,11.3,0.157,0.03,0.215,0.04,20.0,,,,
2010-07-14 14:00:00,,,,,,,,,,,16.0,47.4,14.3,37.4
2010-08-04 16:15:00,4.31,4.32,0.00099,0.0102,11.4,0.159,0.03,0.205,0.04,20.0,,,,
2010-09-14 11:05:00,4.65,4.66,0.00082,0.0118,10.2,0.17,0.03,0.21100000000000002,0.04,20.0,,,,
2010-10-08 15:00:00,5.25,5.26,0.00081,0.0129,16.3,0.214,0.03,0.263,0.04,20.0,,,,
2010-10-29 15:55:00,6.15,6.16,0.00056,0.0094,8.47,0.25,0.03,0.275,0.04,20.0,,,,
2010-11-23 17:00:00,3.8,3.86,0.0261,0.0556,11.9,0.33299999999999996,1.64,0.455,0.04,20.0,,,,
2011-01-05 09:20:00,8.33,8.38,0.00176,0.0469,12.6,0.122,0.17800000000000002,0.156,0.04,20.0,,,,
2011-02-17 10:15:00,6.82,6.85,0.00041,0.0251,17.3,0.146,0.03,0.19399999999999998,0.04,20.0,,,,
2011-03-02 15:00:00,7.55,7.59,0.00065,0.0355,33.3,0.102,0.05,0.18100000000000002,0.04,27.0,,,,
2011-04-06 14:25:00,6.54,6.55,0.00064,0.0127,7.8,0.095,0.03,0.127,0.04,20.0,,,,
2011-05-13 09:40:00,4.73,4.75,0.0017,0.0189,21.7,0.13699999999999998,0.067,0.259,0.04,20.0,,,,
2011-06-03 15:30:00,5.2,5.22,0.0009,0.0189,7.82,0.215,0.03,0.27699999999999997,0.04,20.0,,,,
2011-07-14 14:55:00,4.1,4.11,0.00095,0.0135,8.9,0.304,0.03,0.342,0.04,20.0,,,,
2011-07-26 12:00:00,,,,,,,,,,,15.1,6.69,13.2,42.9
2011-08-15 09:40:00,3.43,3.44,0.00081,0.0116,11.2,0.262,0.03,0.321,0.04,20.0,,,,
2011-08-31 15:20:00,4.21,4.22,0.00079,0.0113,7.6,0.41,0.03,0.461,0.04,20.0,,,,
2011-10-12 14:46:00,3.58,3.59,0.00063,0.0137,6.92,0.309,0.03,0.35700000000000004,0.04,20.0,,,,
2011-11-08 10:40:00,6.69,6.72,0.00043,0.0304,7.45,0.49700000000000005,0.04,0.547,0.04,20.0,,,,
2011-11-26 15:10:00,5.97,5.98,0.00037,0.011000000000000001,6.35,0.41200000000000003,0.03,0.449,0.04,20.0,,,,
2012-01-20 13:40:00,6.8,6.83,0.00036,0.0317,5.05,0.231,0.03,0.271,0.04,20.0,,,,
2012-02-03 12:50:00,6.65,6.68,0.00029,0.0343,5.07,0.218,0.03,0.237,0.04,20.0,,,,
2012-03-14 17:00:00,6.39,6.4,0.0005200000000000001,0.0104,6.55,0.158,0.03,0.185,0.04,20.0,,,,
2012-04-20 12:55:00,4.82,4.84,0.00126,0.019,12.5,0.248,0.068,0.305,0.04,20.0,,,,
2012-05-16 11:46:00,5.41,5.43,0.00058,0.0197,7.67,0.094,0.03,0.139,0.04,20.0,,,,
2012-06-07 10:59:00,5.11,5.16,0.0018800000000000002,0.0545,7.38,0.18899999999999997,0.076,0.235,0.04,20.0,,,,
2012-07-10 14:45:00,2.51,2.55,0.00139,0.0422,17.2,0.159,0.066,0.256,0.04,20.0,,,,
2012-08-01 12:34:00,5.07,5.09,0.0008900000000000001,0.0162,8.07,0.13,0.03,0.151,0.04,20.0,,,,
2012-08-01 13:02:00,,,,,,,,,,,15.4,3.07,13.4,37.0
2012-08-28 12:08:00,4.7,4.71,0.00088,0.0088,6.6,0.162,0.03,0.191,0.04,20.0,,,,
2012-10-10 10:39:00,6.66,6.69,0.00014,0.0279,28.2,0.131,0.03,0.222,0.04,22.5,,,,
2012-10-24 11:25:00,4.87,4.92,0.00115,0.0455,14.1,0.12300000000000001,0.079,0.166,0.04,20.0,,,,
2012-12-07 12:04:00,6.77,6.8,0.00042,0.0258,14.2,0.08199999999999999,0.064,0.115,0.04,20.0,,,,
2013-01-15 11:40:00,7.47,7.5,0.00075,0.0259,15.5,0.083,0.066,0.13,0.04,20.0,,,,
2013-02-04 13:33:00,6.46,6.48,0.0007099999999999999,0.0213,16.6,0.069,0.051,0.107,0.04,20.0,,,,
2013-03-04 12:20:00,8.56,8.59,0.00085,0.0281,8.63,0.078,0.066,0.10400000000000001,0.04,20.0,,,,
2013-03-20 13:16:00,5.95,5.97,0.0003,0.0237,30.8,0.08800000000000001,0.03,0.159,0.04,25.4,,,,
2013-05-09 13:21:00,6.1,6.13,0.00073,0.0251,27.9,0.027999999999999997,0.03,0.188,0.04,20.0,,,,
2013-05-22 11:12:00,6.51,6.53,0.00065,0.0211,14.8,0.124,0.03,0.221,0.04,20.0,,,,
2013-07-22 13:12:00,,,,,,,,,,,13.6,1.25,12.6,43.3
2013-07-22 12:47:00,4.98,5.0,0.0013,0.0187,14.1,0.188,0.03,0.258,0.04,20.0,,,,
2013-08-02 12:51:00,4.08,4.1,0.0011099999999999999,0.022000000000000002,12.8,0.272,0.03,0.32899999999999996,0.04,20.0,,,,
2013-09-27 10:12:00,5.91,5.92,0.00133,0.0121,17.5,0.293,0.062,0.344,0.04,20.0,,,,
2013-10-14 11:19:00,5.62,5.63,0.00047999999999999996,0.015,14.6,0.308,0.03,0.35600000000000004,0.04,20.0,,,,
2013-11-20 14:12:00,7.99,8.0,0.00041,0.0144,10.1,0.134,0.03,0.161,0.04,20.0,,,,
2013-12-02 12:29:00,8.34,8.35,0.00042,0.0119,6.95,0.17,0.03,0.195,0.04,20.0,,,,
2014-01-02 11:57:00,6.67,6.69,0.00032,0.0212,42.8,0.10400000000000001,0.033,0.17,0.04,37.2,,,,
2014-02-19 16:30:00,6.34,6.36,0.00047000000000000004,0.0199,12.3,0.040999999999999995,0.03,0.0719,0.04,20.0,,,,
2014-03-06 11:41:00,4.99,5.01,0.0004,0.0164,20.2,0.054000000000000006,0.03,0.0983,0.04,20.0,,,,
2014-04-25 13:15:00,5.76,5.78,0.00203,0.0186,,0.069,0.096,0.184,,,,,,
2014-05-22 13:35:00,5.45,5.46,0.00085,0.0132,13.3,0.12,0.03,0.196,,,,,,
2014-06-09 14:18:00,4.24,4.25,0.0009699999999999999,0.0128,,0.11599999999999999,0.03,0.161,,,,,,
2014-07-28 14:54:00,,,,,,,,,,,,,,57.8
2014-07-28 14:16:00,4.15,4.16,0.00121,0.0102,10.1,0.218,0.03,0.268,,,,,,
2014-09-18 12:46:00,5.28,5.29,0.0007700000000000001,0.0117,10.6,0.363,0.03,0.401,,,,,,
2014-10-02 10:46:00,4.73,4.74,0.00062,0.0125,,0.466,0.03,0.524,,,,,,
2014-10-16 12:21:00,5.46,5.48,0.00091,0.0168,,0.287,0.043,0.31,,,,,,
2014-11-20 11:45:00,8.84,8.86,0.00041,0.0216,,0.166,0.03,0.23800000000000002,,,,,,
2014-12-04 11:55:00,7.01,7.02,0.00043,0.0134,,0.11599999999999999,0.03,0.162,,,,,,
2015-01-21 10:18:00,7.7,7.72,0.00033999999999999997,0.0165,,0.10400000000000001,0.03,0.152,,,,,,
2015-02-20 10:23:00,6.57,6.59,0.00039,0.0174,,0.11699999999999999,0.03,0.2,,,,,,
2015-03-16 17:05:00,7.64,7.65,0.00045,0.0124,,0.10800000000000001,0.03,0.133,,,,,,
2015-04-23 12:13:00,5.11,5.12,0.00067,0.0141,,0.013000000000000001,0.03,0.157,,,,,,
2015-05-27 14:33:00,3.95,3.96,0.00079,0.0147,,0.192,0.03,0.349,,,,,,
2015-06-17 12:02:00,4.67,4.69,0.0008900000000000001,0.0234,,0.06,0.03,0.28,,,,,,
2015-08-24 10:44:00,3.8,3.82,0.00123,0.0154,,0.293,0.045,0.348,,,,,,
2015-09-18 14:16:00,5.37,5.39,0.0007,0.0161,,0.439,0.033,0.496,,,,,,
2015-10-22 15:48:00,4.8,4.82,0.00045,0.0211,,0.299,0.03,0.33399999999999996,,,,,,
2015-11-12 12:21:00,5.9,5.92,0.0006799999999999999,0.0162,,0.314,0.03,0.366,,,,,,
2015-12-10 13:39:00,6.75,6.76,0.0005,0.0122,,0.192,0.03,0.249,,,,,,
2015-12-29 16:12:00,7.4,7.42,0.00055,0.0189,,0.133,0.03,0.36700000000000005,,,,,,
2016-01-07 10:23:00,7.53,7.56,0.00037,0.0251,,0.14,0.031,0.255,,,,,,
2016-02-11 17:30:00,6.28,6.31,0.00037,0.0345,,0.11800000000000001,0.03,0.18600000000000003,,,,,,
2016-02-29 16:23:00,8.06,8.07,0.00041,0.0106,,0.115,0.03,0.14300000000000002,,,,,,
2016-04-12 10:14:00,7.14,7.15,0.0005200000000000001,0.0116,,0.073,0.03,0.12,,,,,,
2016-05-12 13:54:00,6.4,6.45,0.0014,0.05,,0.15,0.061,0.221,,,,,,
2016-06-03 14:54:00,6.81,6.83,0.0006799999999999999,0.0178,,0.276,0.03,0.33299999999999996,,,,,,
2016-07-25 15:28:00,4.86,4.87,0.00116,0.0106,,0.195,0.03,0.252,,,,,,
2016-08-18 15:20:00,5.42,5.43,0.0010199999999999999,0.0099,,0.292,0.03,0.34299999999999997,,,,,,
2016-11-03 10:50:00,6.74,6.77,0.00045,0.0349,,0.348,0.03,0.406,,,,,,
2016-11-28 14:47:00,9.11,9.14,0.00043,0.0283,,0.191,0.038,0.231,,,,,,
2016-12-03 15:06:00,7.96,7.98,0.00033999999999999997,0.0161,,0.21,0.033,0.239,,,,,,
2016-12-12 15:52:00,8.67,8.71,0.00098,0.0372,,0.273,0.08,0.34,,,,,,
2017-02-14 12:51:00,9.19,9.21,0.00037999999999999997,0.0189,,0.124,0.03,0.147,,,,,,
2017-03-07 14:38:00,7.98,8.0,0.00041,0.019,,0.127,0.03,0.21600000000000003,,,,,,
2017-03-22 16:28:00,7.81,7.82,0.0005200000000000001,0.0085,,0.16,0.03,0.188,,,,,,
2017-04-03 14:14:00,6.83,6.84,0.00063,0.0089,,0.127,0.03,0.157,,,,,,
2017-05-19 12:28:00,6.6,6.64,0.0017800000000000001,0.0369,,0.299,0.095,0.37200000000000005,,,,,,
2017-06-02 08:52:00,6.33,6.35,0.0009599999999999999,0.018000000000000002,,0.231,0.03,0.287,,,,,,
2017-07-24 08:47:00,3.56,3.57,0.0009199999999999999,0.008,,0.33399999999999996,0.03,0.424,,,,,,
2017-08-17 09:10:00,4.15,4.16,0.00075,0.0111,,0.34299999999999997,0.03,0.41,,,,,,
2017-09-20 08:40:00,5.64,5.65,0.00042,0.0123,,0.325,0.03,0.361,,,,,,
2017-11-24 08:44:00,6.78,6.8,0.00049,0.0155,,0.355,0.03,0.377,,,,,,
2017-12-06 09:01:00,7.66,7.67,0.00049,0.0125,,0.326,0.039,0.37200000000000005,,,,,,
2017-12-13 08:59:00,7.76,7.8,0.0008699999999999999,0.0394,,0.384,0.087,0.405,,,,,,
2018-01-11 08:58:00,9.45,9.48,0.00044,0.0304,,0.132,0.038,0.177,,,,,,
2018-02-16 12:44:00,8.21,8.23,0.00037,0.0161,,0.142,0.03,0.18,,,,,,
2018-03-16 08:36:00,6.17,6.19,0.00044,0.021,,0.09699999999999999,0.034,0.183,,,,,,
2018-04-11 15:15:00,6.86,6.89,0.0008300000000000001,0.0276,,0.08900000000000001,0.062,0.14300000000000002,,,,,,
2018-05-14 08:17:00,7.4,7.42,0.0009699999999999999,0.0245,,0.11699999999999999,0.042,0.174,,,,,,
2018-06-26 08:21:00,6.79,6.81,0.0009699999999999999,0.0152,,0.20600000000000002,0.03,0.228,,,,,,
2018-07-13 15:07:00,6.15,6.17,0.00118,0.0158,,0.22699999999999998,0.03,0.261,,,,,,
2018-08-02 16:12:00,5.55,5.58,0.00115,0.0257,,0.243,0.03,0.28,,,,,,
2018-09-21 07:28:00,5.1,5.12,0.00075,0.0197,,0.266,0.03,0.301,,,,,,
2018-10-24 08:00:00,3.72,3.74,0.00047000000000000004,0.0151,,0.262,0.03,0.3,,,,,,
2018-11-21 08:10:00,5.37,5.39,0.00042,0.0163,,0.273,0.03,0.3,,,,,,
2018-12-18 14:41:00,10.8,10.8,0.00085,0.0365,,0.215,0.06,0.264,,,,,,
